Speaker,Speech
Lavu Sri Krishna Devarayalu — Narasaraopet,"Mr. Speaker, Honorable Sas de Sir has expressed his views about the issues related to hygiene at stations and when many people meet him, they also give their suggestions in this regard. I would like to thank respected mother-in-law. I had also taken information about your two stations Adalabad and Basar during the Question Hour. The condition of facilities at both these stations is good. If there is still any complaint then you must bring it to my notice. Apart from this, all the MPs on hygiene across the region also know how much change has taken place in the last 11 years. If we had gone to any railway station 12-15 years ago, we all know the situation and the atmosphere there. Today, so much effort is being made to clean the stations that a new study has been set. Apart from this, if any respected MP finds any problem in any station in his area or outside his area, then please bring it to my notice. Serious efforts will be made on this."
Dharmendra Yadav — Azamgarh,"Thank you, Chairman."
Dharmendra Yadav — Azamgarh,"Through you, I want to ask the Honorable Minister for your cooperation and fortunately, our Azamgarh is also included in your scheme to repair the stations. But Honorable Minister, before asking this question, I spoke to the officials in Azamgarh. You will be surprised that the experts there are not able to give the progress report. They are not even able to tell when this Amtri Bharat scheme will be completed. Mr. Speaker, it is a matter of great pain when the elders of our area request us that due to our age and illness, we are allowed to stand on platform number three of the only big train that goes to Azamgarh."
Dharmendra Yadav — Azamgarh,"When will our Azamgarh station, which comes under Amtri Bharat Scheme, be completed? When will the problems being faced by the train be resolved? It is very difficult for us there. That is why I am raising this question. I have no interest in talking here and there. I feel very sad when I hear the pain of my neighbors and there is no solution."
Lavu Sri Krishna Devarayalu — Narasaraopet,"Honorable Speaker, all the honorable members know that station development is a very complex work. Where already traffic is going on. In such circumstances when vehicles are coming and going, the station has to be redeveloped to avoid blocking the traffic. If I can give you an example, like the example of Chandigarh. Mains work is going on there and there is no need to stop the traffic. In many areas of the world, where re-development of the station is undertaken, the traffic is stopped for three-four years, but in our area the situation may not be such that traffic can be stopped for three-four years as long as the work on the station is going on. There is no such possibility in my life. Here, there is daily traffic and there is daily movement. Under those circumstances, the station is being redeveloped keeping safety in mind. This type of work of the station has been undertaken for the first time after independence. We have no previous experience in this. This is a new experience. In this new experience, work is being done with safety in a new way. In this, I would also request the honorable MP that if you have any feedback, your feedback and suggestions would be welcome to improve and improve this work. We will also implement it."
Hibi Eden — Ernakulam,"Sir, I would like to thank the hon. Minister for allotting a waiting arena at the Ernakulam Railway Station. But unfortunately, this railway station redevelopment has been retained, and the redevelopment is taking a lot of time. Three years back you had announced it, but unfortunately it has not been taken up, Sir. The last mile connectivity is very important for passengers. Although the Kochi Metro Rail is not financially viable yet lakhs of passengers are traveling every day on the Kochi Metro Rail. We have the Ernakulam Junction, Ernakulam Town and the Thrippunithura Railway Station. There are multiple railway stations which can be connected through a skywalk to the metro station. The Government also focuses on the Gati Shakti Yojana where there is a provision of the multi-level transportation system. We have the water metro. We have the metro as well as the railway stations, which can be connected through a skywalk. Would the Union Railway Minister take an initiative to connect these railway stations? These are all financially viable stations of Ernakulam in the State of Kerala itself. Would the Government of India take an initiative to do that?"
Putta Mahesh Kumar — Eluru,"Speaker Sir, I would like to know from the Honorable Minister that how would you like to decommission those stations which are not included in this scheme and which are in A grade, like our Angruha Narayan Road is in A grade station and as per the criteria of A grade station, where infrastructure and basic amenities are not available there?"
Lavu Sri Krishna Devarayalu — Narasaraopet,"Speaker Sir, work is going on continuously to find out the way stations should be given admissaries one by one. I will collect the information about the particular circular station that the honorable MP has mentioned and give it to you separately. (Idat)"
Byreddy Shabari — Nandyal,"Hon. Speaker, Sir, as per the reply given by hon. Minister with regard to the train service connecting Nandyal and Guntakal, there are four trains that have been mentioned. All four trains travel at very odd timings, that is, 12:55, 1:30 and 2:20 in the midnight, and also one train at 8:20 in the night. There are thousands of commuters who travel on a daily basis, including students and office-goers. Sir, through you, I would like to request the hon. Minister to kindly provide a daily MEMU train or a passenger train which would be very beneficial on this route."
Byreddy Shabari — Nandyal,"Sir, my supplementary question is regarding Dhone and Dupadu-Betamcherla railway. The sanction is already there and final location survey was done in 2023 itself. This is a very important issue because it connects to the Orvakal industrial corridor. Also, it reduces the distance by 50 to 60 kilometers from Kurnool and Nandyal. The DPR and allocation of funds is still pending. Sir, I request you to look into the matter."
Isha Khan Choudhury — Maldaha Dakshin,"A level crossing is being discussed on the Azimganj-New Farakka section under Malda Railway Division, which falls under my constituency of Maldaha Dakshin in Samserganj block near Dak Banglow. There has been a demand from public for a rail over-bridge for a long time due to tremendous traffic congestion, which is caused because of the level crossing provides connectivity to the Dhulian Municipality and also links Bengal to Jharkhand and Bihar. I am happy to know from the reply of the hon. Railway Minister that the rail over-bridge project has been sanctioned and that a detailed estimate is being done at present. I would like to ask the hon. Railway Minister whether he foresees any type of delay in the advancement of the project, in terms of any land problems or any alignment issues. Will there be any delay in the project?"
Isha Khan Choudhury — Maldaha Dakshin,"Sir, my next question is on the same line. Is there any deadline that could be given for the beginning of construction of the RoB in that area?"
Sambit Patra — Puri,"Thank you Chairman, I will conclude in 35 seconds. Road overpass was constructed at the existing junction in the year 2021 and it was assured that the foot overpass which was broken will be made within the year. There was a meeting in my divisional and zonal also. In both the meetings, in October last year, it was assured that work would start in a month, but that work has not started yet. I would like to know from the Honorable Minister through you when that work will start. From there, processions of gentlemen, women, children, handicapped etc. pass. Three people have lost their lives in an accident there just last month, so how will they be safe? I want to know when will this happen?"
Lavu Sri Krishna Devarayalu — Narasaraopet,"Honorable Speaker, Prasun Dada's work has been approved by us. There is a lot of doubt on the state government ahead.… (Interruption) I have replied to Prasun Dada."
Lavu Sri Krishna Devarayalu — Narasaraopet,"Honorable Speaker, the question asked by Honorable Speaker of the House on the issue of Badhiman. I will collect information about that particular FOB and provide it to the Honorable MP. (Question 145)"
Vamsi Krishna Gaddam — Peddapalle(Sc),"Sir, I would like to thank the hon. Minister for approving my previous request. Regarding a project in Ramagundam, Peddapalli to Manuguru, DPR has been made with an estimate of almost Rs. 4,000 crores. I would like to know further details as to how this project is going to be deployed. An RoB at an estimate of Rs. 120 crore in Kundanapalli has also been sanctioned. An FoB at an estimate of Rs. 86 crore from Karnala to Manthini, which is the most interior place in my constituency, has also been sanctioned. An FoB at an estimate of Rs. 10 crore from Manchiryal to Hamiliwada has been sanctioned. I would like to request the hon. Minister to provide details on the timelines as to when these projects can be deployed. The youths of my constituency are facing a lot of hardships without these facilities."
Lavu Sri Krishna Devarayalu — Narasaraopet,"Honorable Speaker, it is a matter of great pleasure that two honorable members of the Congress have praised the work of Railways and the work of the Honorable Prime Minister. This is a clear example of the ‘Sabka Saath, Sabka Vikas’ spirit of the Honorable Prime Minister. Sir, Saas de ji has said about two LCs, two ROBs and one project. Finalization of alignment of LC-31 and LC-32, Odela and Kolanur is underway. The state government is also fully cooperating in this. There is a genuine problem in this that there is dense population on both sides. There is dense population on both sides of both the LC gates. Both state government officials and railway officials have visited the site. After this, if any solution is found, I will ask my officers to visit the site along with the respected MPs, so that a practical solution to the problem can be found. Land acquisition of LC 52 is already in progress. As soon as the land acquisition is completed, next steps can be taken."
Vamsi Krishna Gaddam — Peddapalle(Sc),"Sir, thank you so much for your response. Sir, I come from Peddapalle. As you know, it is a very large industrial hub town. I am taking this liberty to ask you for a semi-conductor facility, particularly for Peddapalle district where the youths, are very experienced, highly skilled, and highly talented. Unfortunately, most of the youths are unemployed today. You are aware that the unemployment rate is very high in the country. I would request for a semi-conductor facility in Peddapalle district. We have a lot of educated, unemployed youths. I feel we will be a huge contributor to the State and to the country if a semi-conductor facility comes to our Peddapalle district. You are aware that we were about to get a semi-conductor facility which was recently diverted to our neighboring State. So, I would request you to look into this issue. Thank you."
Mohibbullah — Rampur,"Dear Sir, through you I would like to convey to Damdanster Sahib that people in Rampur district have to face a lot of problems because majority of the trains do not stop there. People, especially students, have to face a lot of problems. 70 trains pass through there, but only two-four of them stop. On your behalf, I request Damdanster Saheb to make a stop there for as many trains as possible. Even if it is just a little time, devote time to this station so that it becomes easier for the city dwellers."
Lavu Sri Krishna Devarayalu — Narasaraopet,"Speaker Sir, I have noted the request of the respected MP and will work for it as much as possible."
A. Raja — Nilgiris(Sc),"Speaker Sir, Adrapas or Overdij is connected with the daily life of the common man and his life and property. In Purnia, there are many traffic jams in Bellary Chowk, Janta Chowk next to the court station, Jalalgarh, Garhbanelli, Banmankhi, Janakinagar, Ranipatra. I have mentioned to you many times about Janta Check Over Dij, Banmankhi, Janakinagar, Garhbanelli town. Similarly, the condition of Phadbisagaj, Semaparu, Kadatahar, Paru Sela, Barari and Maru Leagues is also very bad. Even after giving your money, the overbridge of Saharsa has not been constructed till date. Despite being on NH, these three overpasses including Madhepuru, Pudnia could not be constructed. You have already said about the overdraft in Purnia and I have given it in writing also. Will you start overdraft construction in Janta Chowk, Banmankhi, Janakinagar and when will the construction which is going on be completed?"
Lavu Sri Krishna Devarayalu — Narasaraopet,"Honorable S.A.S. has talked about a dozen specific diseases, I will take the details of all of them and give you information. (Idat) *SHRI THANGA TAMILSELVAN (THENI): Hon Speaker, Sir, the hon. Minister has given a written reply to my question. In this reply he has admitted that the welfare schemes can be implemented through the Ministry of Minority Affairs. ....I asked about the schemes that are implemented for the welfare of minorities through Corporate Social Responsibility, CSR. But the hon. The Minister says that those CSR schemes are being implemented by the Ministry of Corporate Affairs (MCA). Sir, in Tamil Nadu we have a scheme named “Namakku Naame” (Let Us Have For Ourselves) brought in by our former Chief Minister of Tamil Nadu Dr. Kalaignar M. Karunanidhi. If the people contribute 20 per cent of the fund, the State Government will provide the remaining 80 per cent meant for such welfare schemes of the people. This is such a good scheme. Similarly, if the Ministry of Minority Affairs, through CSR, provides 20 per cent fund for the welfare schemes meant for affected people, backward communities, and particularly minorities, then through our Government we can provide more benefits to the people of such backward areas. I want to ask whether a guideline shall be formulated by the Union Government in this regard."
Kalanidhi Veeraswamy — Chennai North,"Sir, 20 per cent of the CSR fund should go towards the welfare of the minorities."
Kiren Rijiju — Arunachal West,"Exactly. That is what I am explaining. The guideline is not for minorities alone. All the guidelines are for all the companies. … All of them come to me, you guys talk. We run schemes for minorities. We will support. But it should not be said that this or that was not given to the minorities. The schemes of the Government of India are for everyone. What the Minority Affairs Ministry provides is additional. (Q.No. 147)"
